"IMAGE","NEWACCT_NO","LINE_STAT","BILL_CYCL","DISTRICT","TENURE","CHURN_REASON","CHURN_GROUP","CURRENT_MTH_CHURN","COSTCENTRE","EFFC_STRT_DATE","EFFC_EXP_DATE"
31-OCT-19,"70045133.011.000008940","AC","01","TSING YI",226,"","","N","SCFD",,
31-OCT-19,"70045133.012.000009046","AC","01","TSING YI",226,"","","N","SCFD",,
31-OCT-19,"70045133.012.000046304","AC","01","TSING YI",226,"","","N","SCFD",,
31-OCT-19,"70045208.004.000008816","AC","01","KWUN TONG",226,"","","N","SCFD",,
31-OCT-19,"70046370.001.000013544","AC","01","TSING YI",225,"","","N","SCFD",,
31-OCT-19,"70046370.001.000013545","AC","01","TSING YI",225,"","","N","SCFD",,
31-OCT-19,"70046370.001.000013546","AC","01","TSING YI",225,"","","N","SCFD",,
31-OCT-19,"70046370.001.000013547","AC","01","TSING YI",225,"","","N","SCFD",,
31-OCT-19,"70046370.001.000013548","AC","01","TSING YI",225,"","","N","SCFD",,
31-OCT-19,"70046370.002.000010657","AC","01","TSING YI",225,"","","N","SCFD",,
31-OCT-19,"70057005.001.000000042","AC","01","TSING YI",224,"","","N","SCFD",,
31-OCT-19,"70057005.001.000000047","AC","01","TSING YI",224,"","","N","SCFD",,
31-OCT-19,"70057005.001.000000048","AC","01","TSING YI",224,"","","N","SCFD",,
31-OCT-19,"70064449.002.000085293","AC","01","HUNG HOM",224,"","","N","SCFD",28-AUG-17,27-AUG-20
31-OCT-19,"70066857.001.000000061","AC","01","CENTRAL DISTRICT",224,"","","N","SCFD",30-NOV-18,29-NOV-19
31-OCT-19,"70066857.001.000000095","AC","01","HUNG HOM",224,"","","N","SCFD",30-AUG-19,29-AUG-22
31-OCT-19,"70068143.001.000000062","AC","01","KWUN TONG",223,"","","N","SCFY",06-MAR-18,05-MAR-21
31-OCT-19,"70068143.003.000072630","AC","01","CHAI WAN",223,"","","N","SCFY",01-MAR-19,28-FEB-21
31-OCT-19,"70068143.004.000089578","AC","01","TSIM SHA TSUI",223,"","","N","SCFY",09-JUL-18,08-JUL-20
31-OCT-19,"70068143.005.000092766","AC","01","WONG CHUK HANG",223,"","","N","SCFY",28-JAN-19,27-JAN-21
31-OCT-19,"70068143.006.000093538","AC","01","SHA TIN",223,"","","N","SCFY",28-MAR-19,27-MAR-21
31-OCT-19,"70068143.008.000093789","AC","01","KWUN TONG",223,"","","N","SCFY",11-APR-19,10-APR-21
31-OCT-19,"70068143.009.000094342","AC","01","TSIM SHA TSUI",223,"","","N","SCFY",27-MAY-19,26-MAY-21
31-OCT-19,"70068143.010.000094412","AC","01","TSIM SHA TSUI",223,"","","N","SCFY",06-JUN-19,05-JUN-21
31-OCT-19,"70068143.011.000095076","AC","01","KWAI CHUNG",223,"","","N","SCFY",26-JUL-19,25-JUL-21
31-OCT-19,"70071840.001.000000066","AC","01","HUNG HOM",223,"","","N","SCFY",01-OCT-19,30-SEP-21
31-OCT-19,"70071840.003.000060034","AC","01","TSIM SHA TSUI",223,"","","N","SCFY",07-NOV-18,06-NOV-20
30-JUN-19,"70076500.001.000000073","AC","01","SAN PO KONG",223,"Relocate to non-coverage(w/prof)","Relocate to non-coverage(w/prof)","Y","SCFY",,
30-JUN-19,"70076500.004.000057640","AC","01","SAN PO KONG",223,"Relocate to non-coverage(w/prof)","Relocate to non-coverage(w/prof)","Y","SCFY",,
31-OCT-19,"70082185.001.000000083","AC","01","WAN CHAI",223,"","","N","SCFY",01-MAY-19,30-APR-21
31-OCT-18,"70082466.001.000000084","AC","01","TSUEN WAN",223,"No Reason Stated","No Reason Stated","Y","SCFD",,
31-OCT-19,"70082466.002.000057576","AC","01","TIN SHUI WAI",223,"","","N","SCFD",23-APR-19,22-APR-21
31-OCT-19,"70082466.002.000064205","AC","01","MONG KOK",223,"","","N","SCFD",28-FEB-19,27-FEB-21
31-OCT-19,"70082466.002.000074335","AC","01","SHA TIN",223,"","","N","SCFD",30-JUL-19,29-JUL-21
30-SEP-19,"70082466.004.000057576","AC","01","TIN SHUI WAI",223,"","","N","SCFD",,
30-SEP-19,"70082466.006.000064205","AC","01","MONG KOK",223,"","","N","SCFD",,
30-SEP-19,"70082466.007.000074335","AC","01","SHA TIN",223,"","","N","SCFD",,
31-OCT-19,"70097464.001.000000098","AC","01","HUNG HOM",223,"","","N","SCFD",01-DEC-17,30-NOV-19
31-OCT-19,"70101548.001.000000103","AC","01","TSIM SHA TSUI",223,"","","N","SCFY",29-SEP-18,28-SEP-20
31-OCT-19,"70101548.001.000091606","AC","01","TSIM SHA TSUI",223,"","","N","SCFY",07-NOV-18,06-NOV-20
31-OCT-19,"70105796.001.000000108","AC","01","KWAI CHUNG",222,"","","N","SCFY",01-MAR-18,29-FEB-20
30-NOV-18,"70107065.001.000000112","IS","01","KWAI CHUNG",222,"(R) Overdue Termination: Involuntary termination by credit control","(R) Overdue Termination","Y","SCFY",,
30-NOV-18,"70107065.001.000081666","IS","01","KWAI CHUNG",222,"(R) Overdue Termination: Involuntary termination by credit control","(R) Overdue Termination","Y","SCFY",,
31-OCT-19,"70130083.002.000000126","AC","01","KWUN TONG",222,"","","N","SCFY",31-JAN-18,30-JUL-20
31-OCT-19,"70138433.001.000000127","AC","01","HUNG HOM",221,"","","N","SCFD",01-AUG-17,31-JUL-20
31-OCT-19,"70156476.001.000000134","AC","01","CHAI WAN",221,"","","N","SCFY",24-SEP-19,23-SEP-21
31-OCT-19,"70181821.001.000000146","AC","01","HUNG HOM",221,"","","N","SCFY",22-JAN-18,21-JAN-20
31-OCT-19,"70199112.003.000063902","AC","01","WAN CHAI",221,"","","N","SCFY",15-JAN-19,14-JAN-21
31-OCT-19,"70199112.003.000069575","AC","01","WAN CHAI",221,"","","N","SCFY",04-JUN-18,03-JUN-20
31-OCT-19,"70199112.003.000089202","AC","01","WAN CHAI",221,"","","N","SCFY",04-JUN-18,03-JUN-20
31-OCT-19,"70199112.003.000090257","AC","01","CENTRAL DISTRICT",221,"","","N","SCFY",26-JUL-18,25-JUL-20
31-OCT-19,"70204417.001.000077803","AC","01","TSIM SHA TSUI",220,"","","N","SCFD",15-MAR-18,14-MAR-20
31-OCT-19,"70204417.001.000090709","AC","01","TSIM SHA TSUI",220,"","","N","SCFD",30-AUG-18,29-AUG-20
30-NOV-18,"70204417.002.000062655","IS","01","CHEUNG SHA WAN",220,"(R) Overdue Termination: Involuntary termination by credit control","(R) Overdue Termination","Y","SCFD",,
31-OCT-19,"70240502.001.000009698","AC","01","HUNG HOM",230,"","","N","SCFY",01-JUN-19,31-MAY-21
31-OCT-19,"70240502.001.000057242","AC","01","HUNG HOM",230,"","","N","SCFY",06-JUN-19,05-JUN-21
31-OCT-19,"70241880.001.000002108","AC","01","TSUEN WAN",229,"","","N","SCFY",01-SEP-17,31-AUG-20
31-AUG-19,"70242664.002.000065985","AC","01","TSIM SHA TSUI",226,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"70242722.003.000080282","AC","01","CENTRAL DISTRICT",225,"","","N","SCFD",31-AUG-18,30-AUG-20
31-OCT-19,"70242722.004.000081748","AC","01","CENTRAL DISTRICT",225,"","","N","SCFD",13-JAN-19,12-JAN-21
31-OCT-19,"70243704.008.000067402","AC","01","TSUEN WAN",231,"","","N","SCFD",02-JAN-17,01-JAN-20
31-OCT-19,"70243704.009.000067605","AC","01","TSIM SHA TSUI",231,"","","N","SCFD",25-JUL-18,24-JAN-20
31-OCT-19,"70243704.010.000068364","AC","01","TSEUNG KWAN O",231,"","","N","SCFD",,
31-OCT-19,"70243704.012.000068367","AC","01","TSEUNG KWAN O",231,"","","N","SCFD",,
31-OCT-19,"70243704.014.000068696","AC","01","TSEUNG KWAN O",231,"","","N","SCFD",18-MAR-18,17-MAR-20
31-OCT-19,"70243704.015.000068882","AC","01","TIN SHUI WAI",231,"","","N","SCFD",01-APR-18,31-MAR-20
31-OCT-19,"70243704.016.000069020","AC","01","TSIM SHA TSUI",231,"","","N","SCFD",15-NOV-18,14-MAY-20
31-OCT-19,"70243704.017.000069116","AC","01","TIN SHUI WAI",231,"","","N","SCFD",05-JUN-18,04-JUN-20
31-OCT-19,"70243704.019.000069601","AC","01","CENTRAL DISTRICT",231,"","","N","SCFD",,
31-OCT-19,"70243704.023.000073042","AC","01","TUEN MUN",231,"","","N","SCFD",09-APR-19,08-APR-21
31-OCT-19,"70243704.024.000073134","AC","01","KWAI CHUNG",231,"","","N","SCFD",01-MAY-18,30-APR-20
31-OCT-19,"70243704.025.000073397","AC","01","TSEUNG KWAN O",231,"","","N","SCFD",05-JUL-18,04-JUL-21
31-OCT-19,"70243704.026.000073576","AC","01","TAI KOK TSUI",231,"","","N","SCFD",01-APR-19,31-MAR-22
31-OCT-19,"70243704.027.000074395","AC","01","TAI KOK TSUI",231,"","","N","SCFD",02-APR-19,01-APR-22
31-OCT-19,"70243704.028.000074458","AC","01","KWUN TONG",231,"","","N","SCFD",16-JUL-19,31-MAR-21
31-OCT-19,"70243704.028.000074886","AC","01","KWUN TONG",231,"","","N","SCFD",01-SEP-19,31-AUG-21
31-OCT-19,"70243704.029.000076511","AC","01","TSUEN WAN",231,"","","N","SCFD",20-JAN-18,19-JAN-20
31-OCT-19,"70243704.032.000081765","AC","01","TSEUNG KWAN O",231,"","","N","SCFD",,
31-OCT-19,"70243704.032.000082277","AC","01","TSEUNG KWAN O",231,"","","N","SCFD",26-JAN-17,25-JAN-20
31-OCT-19,"70243704.032.000083967","AC","01","TSEUNG KWAN O",231,"","","N","SCFD",05-JUL-18,04-JUL-21
31-OCT-19,"70243704.033.000083177","AC","01","TIN SHUI WAI",231,"","","N","SCFD",11-APR-19,10-APR-21
31-OCT-19,"70243704.035.000084441","AC","01","TIN SHUI WAI",231,"","","N","SCFD",,
31-OCT-19,"70243704.036.000084664","AC","01","KWUN TONG",231,"","","N","SCFD",26-JUL-17,25-JUL-20
31-OCT-19,"70243704.037.000084733","AC","01","MID-LEVELS",231,"","","N","SCFD",11-AUG-17,10-AUG-20
31-OCT-19,"70243704.038.000084844","AC","01","MID-LEVELS",231,"","","N","SCFD",11-AUG-17,10-AUG-20
31-OCT-19,"70243704.039.000086241","AC","01","TSING YI",231,"","","N","SCFD",14-DEC-18,13-DEC-19
31-OCT-19,"70243704.040.000086243","AC","01","TSING YI",231,"","","N","SCFD",14-DEC-18,13-DEC-19
31-OCT-19,"70243704.041.000086244","AC","01","TSING YI",231,"","","N","SCFD",14-DEC-18,13-DEC-19
31-OCT-19,"70243704.042.000087288","AC","01","REPULSE BAY",231,"","","N","SCFD",01-FEB-19,31-JAN-21
31-OCT-19,"70243704.043.000094290","AC","01","TSUEN WAN",231,"","","N","SCFD",15-JUL-19,14-JUL-22
31-OCT-19,"70243704.043.000096388","AC","01","TSUEN WAN",231,"","","N","SCFD",18-OCT-19,17-OCT-21
31-OCT-19,"70243704.044.000094635","AC","01","CENTRAL DISTRICT",231,"","","N","SCFD",14-AUG-19,13-AUG-22
31-OCT-19,"70243704.045.000094639","AC","01","CENTRAL DISTRICT",231,"","","N","SCFD",14-AUG-19,13-AUG-22
31-OCT-19,"70243704.046.000094666","AC","01","CENTRAL DISTRICT",231,"","","N","SCFD",22-JUN-19,21-JUN-22
31-OCT-19,"70243704.046.000094668","AC","01","CENTRAL DISTRICT",231,"","","N","SCFD",22-JUN-19,21-JUN-22
31-OCT-19,"70245212.002.000018482","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018483","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018484","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018486","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018487","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018494","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018495","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018496","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018497","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018498","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018499","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018500","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018501","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018502","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018503","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018504","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018505","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018506","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000018507","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019615","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019616","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019617","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019618","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019619","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019620","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019621","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019622","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019623","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019624","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019625","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019626","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019627","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019628","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019629","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000019630","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000059249","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000059250","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000059253","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000059254","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000062642","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000067169","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000067170","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000067171","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000067172","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.002.000067173","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084879","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084880","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084885","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084897","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084901","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084902","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084903","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084904","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084905","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084906","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084907","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084908","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084909","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084910","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084911","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084912","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084913","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084914","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084915","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084916","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084917","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084918","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084919","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084920","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084921","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084922","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084923","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084924","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084925","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084926","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084927","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084928","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084929","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084930","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084931","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084932","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084933","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084934","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084935","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084936","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084937","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084938","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084939","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084940","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084941","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084942","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084943","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084944","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084945","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084946","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084947","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084948","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084949","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084950","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084951","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084952","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084953","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084954","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084955","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084956","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084957","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084958","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084959","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084960","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084961","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084962","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084963","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084964","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084965","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084966","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084967","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084968","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084969","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084970","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084971","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084972","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084973","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084974","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084975","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084976","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084977","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084978","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084979","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084980","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084981","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084982","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084983","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084984","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084985","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084986","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084987","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084988","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084989","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084990","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084991","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084992","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
31-OCT-19,"70245212.021.000084993","AC","01","TSING YI",227,"","","N","SCFD",01-OCT-17,30-SEP-20
